field_collection_start_date,access_id,location_id,ShortName,ADD
40912,1704,SEAI1S8D_OUT,SEA40912,0
40610,745,LDR010,LDR40610,#N/A
40185,1839,SEAR1S8D_OUT,SEA40185,0
40912,1639,SEAC1S8D_OUT,SEA40912,0
40549,1763,SEAR1S8D_OUT,SEA40549,0
40185,1848,SEAR1S8D_OUT,SEA40185,0
40912,1600,SEAC1S8D_OUT,SEA40912,0
40109,1275,SNO_HDR,SNO40109,0
40202,2401,SEAOUTFALL_6057,SEA40202,3
40982,782,TFW004S8D_RAIN,TFW40982,0
40323,1045,TFWFD1,TFW40323,0
40932,2379,SEAC1S8D_OUT,SEA40932,1
40910,451,SNO_COM,SNO40910,1
41078,1085,MH5171,MH541078,#N/A
40563,2149,SEAR1S8D_OUT,SEA40563,1
40555,2088,SEAR1S8D_OUT,SEA40555,1
40932,2489,SEAC1S8D_OUT,SEA40932,1
40863,1440,SEARRRS8D_RAIN,SEA40863,1
40937,2689,SEAR1S8D_OUT,SEA40937,2
40646,912,SEA19US8D_RAIN,SEA40646,1
40937,2592,SEAOUTFALL_6057,SEA40937,2
40459,296,SEAI1S8D_OUT,SEA40459,9
40219,614,SNO_COM,SNO40219,2
40202,2343,SEAI1S8D_OUT,SEA40202,3
40827,1249,TFW001S8D_OF235,TFW40827,0
40122,1391,SEACOMS8D_OUT,SEA40122,0
40937,2718,SEAR1S8D_OUT,SEA40937,2
40586,3064,SEAI1S8D_OUT,SEA40586,4
40555,2006,SEAOUTFALL_6057,SEA40555,1
40219,2811,SEAR1S8D_OUT,SEA40219,1
40844,1311,TFWFD1,TFW40844,0
40185,1869,SEAR1S8D_OUT,SEA40185,0
40563,2204,SEAI1S8D_OUT,SEA40563,1
40555,2125,SEAI1S8D_OUT,SEA40555,1
40188,1896,SEAOUTFALL_6057,SEA40188,0
40185,1832,SEAR1S8D_OUT,SEA40185,0
40447,1207,TFW004S8D_RAIN,TFW40447,1
40224,3144,SEAR1S8D_OUT,SEA40224,0
40219,2864,SEAC1S8D_OUT,SEA40219,1
40224,3167,SEAR1S8D_OUT,SEA40224,0
40939,590,TFW001S8D_OF235,TFW40939,0
40555,1982,SEAI1S8D_OUT,SEA40555,1
40555,2037,SEAOUTFALL_6057,SEA40555,1
40932,2516,SEAR1S8D_OUT,SEA40932,1
40202,2370,SEAOUTFALL_6057,SEA40202,3
40185,1772,SEAC1S8D_OUT,SEA40185,0
40586,3040,SEAC1S8D_OUT,SEA40586,4
40232,671,LDR010,LDR40232,#N/A
40563,2208,SEAI1S8D_OUT,SEA40563,1
41002,884,TFWFD1,TFW41002,0
40939,594,SNO_HDR,SNO40939,0
40108,312,SEAI1S8D_OUT,SEA40108,0
40932,2461,SEAC1S8D_OUT,SEA40932,1
40185,1801,SEAC1S8D_OUT,SEA40185,0
40549,1724,SEAR1S8D_OUT,SEA40549,0
40826,307,SEAOUTFALL_6057,SEA40826,0
40219,2846,SEAC1S8D_OUT,SEA40219,1
40202,2284,SEAC1S8D_OUT,SEA40202,3
40932,2470,SEAC1S8D_OUT,SEA40932,1
40912,1637,SEAC1S8D_OUT,SEA40912,0
40397,1120,SNO_COM,SNO40397,0
40219,2763,SEAR1S8D_OUT,SEA40219,1
40932,2503,SEAR1S8D_OUT,SEA40932,1
40219,2781,SEAR1S8D_OUT,SEA40219,1
40499,402,SEAC1S8D_OUT,SEA40499,0
40937,2680,SEAR1S8D_OUT,SEA40937,2
40075,1190,SNO_HDR,SNO40075,1
40932,2463,SEAC1S8D_OUT,SEA40932,1
40220,2935,SEAOUTFALL_6057,SEA40220,2
40178,442,SEAC1S8D_OUT,SEA40178,0
40937,2628,SEAI1S8D_OUT,SEA40937,2
40511,1500,TFW004S8D_RAIN,TFW40511,0
40937,2585,SEAOUTFALL_6057,SEA40937,2
41236,1478,SEA19US8D_RAIN,SEA41236,1
40202,2333,SEAI1S8D_OUT,SEA40202,3
40555,2077,SEAR1S8D_OUT,SEA40555,1
40688,952,SNO_LDR,SNO40688,2
40075,1189,SNO_COM,SNO40075,1
40555,2049,SEAOUTFALL_6057,SEA40555,1
40932,2381,SEAC1S8D_OUT,SEA40932,1
40202,2364,SEAI1S8D_OUT,SEA40202,3
40294,964,SEARRRS8D_RAIN,SEA40294,1
40937,2701,SEAR1S8D_OUT,SEA40937,2
40188,1906,SEAOUTFALL_6057,SEA40188,0
40202,2424,SEAOUTFALL_6057,SEA40202,3
40202,2259,SEAC1S8D_OUT,SEA40202,3
40563,2210,SEAI1S8D_OUT,SEA40563,1
39877,113,SEAR1S8D_OUT,SEA39877,0
40202,2295,SEAC1S8D_OUT,SEA40202,3
40932,2509,SEAR1S8D_OUT,SEA40932,1
40459,293,SEAR1S8D_OUT,SEA40459,9
40912,1703,SEAI1S8D_OUT,SEA40912,0
40185,1807,SEAC1S8D_OUT,SEA40185,0
40912,1609,SEAC1S8D_OUT,SEA40912,0
40459,1229,TFWFD1,TFW40459,7
40868,1464,TFW004S8D_RAIN,TFW40868,0
40932,2457,SEAC1S8D_OUT,SEA40932,1
40332,1056,TFW004S8D_RAIN,TFW40332,0
41252,1526,SEACOMS8D_OUT,SEA41252,0
40937,2625,SEAI1S8D_OUT,SEA40937,2
40586,3087,SEAI1S8D_OUT,SEA40586,4
40411,241,SEAOUTFALL_6057,SEA40411,10
40555,2119,SEAOUTFALL_6057,SEA40555,1
40219,2872,SEAC1S8D_OUT,SEA40219,1
40586,2992,SEAR1S8D_OUT,SEA40586,4
40219,2828,SEAC1S8D_OUT,SEA40219,1
40586,2969,SEAR1S8D_OUT,SEA40586,4
40202,2258,SEAC1S8D_OUT,SEA40202,3
40185,1776,SEAC1S8D_OUT,SEA40185,0
40212,58,SEAOUTFALL_6057,SEA40212,0
40932,2558,SEAC1S8D_OUT,SEA40932,1
40481,343,SEAR1S8D_OUT,SEA40481,0
40912,1697,SEAI1S8D_OUT,SEA40912,0
40937,2733,SEAR1S8D_OUT,SEA40937,2
40912,1615,SEAC1S8D_OUT,SEA40912,0
40185,1867,SEAR1S8D_OUT,SEA40185,0
40912,1694,SEAI1S8D_OUT,SEA40912,0
40262,144,SEAC1S8D_OUT,SEA40262,1
40483,1345,SEA19US8D_RAIN,SEA40483,0
40932,2473,SEAC1S8D_OUT,SEA40932,1
40937,2666,SEAI1S8D_OUT,SEA40937,2
40586,621,SNO_LDR,SNO40586,0
40224,3168,SEAR1S8D_OUT,SEA40224,0
40188,506,TFW004S8D_RAIN,TFW40188,0
40912,1612,SEAC1S8D_OUT,SEA40912,0
40219,611,SNO_LDR,SNO40219,2
40333,1059,TFW001S8D_OF235,TFW40333,0
39915,174,SEAOUTFALL_6057,SEA39915,0
40932,2450,SEAC1S8D_OUT,SEA40932,1
40586,71,SEAC1S8D_OUT,SEA40586,4
40563,2236,SEAI1S8D_OUT,SEA40563,1
40586,3055,SEAC1S8D_OUT,SEA40586,4
40937,2621,SEAI1S8D_OUT,SEA40937,2
40586,3067,SEAI1S8D_OUT,SEA40586,4
40912,1701,SEAI1S8D_OUT,SEA40912,0
40224,3128,SEAR1S8D_OUT,SEA40224,0
40283,922,GM34921,GM340283,#N/A
40397,1119,SNO_HDR,SNO40397,0
41346,777,SEARRRS8D_RAIN,SEA41346,0
40219,2776,SEAR1S8D_OUT,SEA40219,1
40555,2056,SEAOUTFALL_6057,SEA40555,1
40586,3058,SEAC1S8D_OUT,SEA40586,4
40224,3151,SEAR1S8D_OUT,SEA40224,0
40188,1938,SEAOUTFALL_6057,SEA40188,0
40937,2636,SEAI1S8D_OUT,SEA40937,2
40234,682,LDR010,LDR40234,#N/A
40219,2928,SEAOUTFALL_6057,SEA40219,1
40202,2425,SEAOUTFALL_6057,SEA40202,3
40219,2801,SEAR1S8D_OUT,SEA40219,1
40554,513,GM34921,GM340554,#N/A
40586,2946,SEAR1S8D_OUT,SEA40586,4
40474,1286,SEARRRS8D_RAIN,SEA40474,0
40460,1232,MH5171,MH540460,#N/A
40863,395,SEAOUTFALL_6057,SEA40863,1
40844,1315,TFW001S8D_OF235,TFW40844,0
40483,1344,SEAHDRS8D_OUT,SEA40483,0
40447,1209,TFWFD1,TFW40447,1
40688,211,SEAC1S8D_OUT,SEA40688,2
40937,2726,SEAR1S8D_OUT,SEA40937,2
40932,2530,SEAR1S8D_OUT,SEA40932,1
40586,2977,SEAR1S8D_OUT,SEA40586,4
40586,2993,SEAR1S8D_OUT,SEA40586,4
40912,1597,SEAC1S8D_OUT,SEA40912,0
40586,3073,SEAI1S8D_OUT,SEA40586,4
40185,1873,SEAR1S8D_OUT,SEA40185,0
40614,768,TFW004S8D_RAIN,TFW40614,0
40937,2602,SEAOUTFALL_6057,SEA40937,2
40224,3123,SEAR1S8D_OUT,SEA40224,0
40202,2319,SEAI1S8D_OUT,SEA40202,3
40932,2519,SEAR1S8D_OUT,SEA40932,1
40937,2741,SEAOUTFALL_6057,SEA40937,2
40563,2214,SEAI1S8D_OUT,SEA40563,1
40219,2883,SEAOUTFALL_6057,SEA40219,1
40937,2714,SEAR1S8D_OUT,SEA40937,2
40555,2019,SEAOUTFALL_6057,SEA40555,1
40202,2325,SEAI1S8D_OUT,SEA40202,3
40202,2412,SEAOUTFALL_6057,SEA40202,3
40586,3101,SEAI1S8D_OUT,SEA40586,4
40132,1418,TFW004S8D_RAIN,TFW40132,0
40219,2927,SEAOUTFALL_6057,SEA40219,1
40549,9,SEAR1S8D_OUT,SEA40549,0
40564,2245,SEAR1S8D_OUT,SEA40564,2
40563,2128,SEAR1S8D_OUT,SEA40563,1
40623,803,SNO_COM,SNO40623,1
40188,1913,SEAOUTFALL_6057,SEA40188,0
40932,2459,SEAC1S8D_OUT,SEA40932,1
40858,383,SEAI1S8D_OUT,SEA40858,1
40563,2157,SEAR1S8D_OUT,SEA40563,1
40858,1409,SNO_HDR,SNO40858,2
40219,2918,SEAOUTFALL_6057,SEA40219,1
40202,2265,SEAC1S8D_OUT,SEA40202,3
40967,709,SNO_HDR,SNO40967,0
40219,2802,SEAR1S8D_OUT,SEA40219,1
40626,135,SEAI1S8D_OUT,SEA40626,1
40811,1201,SNO_COM,SNO40811,2
40912,1641,SEAC1S8D_OUT,SEA40912,0
40563,2191,SEAI1S8D_OUT,SEA40563,1
40188,1890,SEAOUTFALL_6057,SEA40188,0
40826,1247,TFW003S8D_OF245,TFW40826,0
41082,1104,SNO_HDR,SNO41082,2
40555,25,SEAR1S8D_OUT,SEA40555,1
40586,2949,SEAR1S8D_OUT,SEA40586,4
40586,638,GM34921,GM340586,#N/A
40563,2155,SEAR1S8D_OUT,SEA40563,1
40202,2281,SEAC1S8D_OUT,SEA40202,3
41065,1061,TFW004S8D_RAIN,TFW41065,2
40932,2534,SEAR1S8D_OUT,SEA40932,1
40219,2903,SEAOUTFALL_6057,SEA40219,1
40912,1,SEAC1S8D_OUT,SEA40912,0
40479,1306,MH5171,MH540479,#N/A
40563,2222,SEAI1S8D_OUT,SEA40563,1
40688,948,TFWFD1,TFW40688,3
40337,1068,TFW004S8D_RAIN,TFW40337,0
40849,349,SEAC1S8D_OUT,SEA40849,1
40932,2525,SEAR1S8D_OUT,SEA40932,1
40161,1558,SNO_HDR,SNO40161,8
40868,1468,GM34921,GM340868,#N/A
40219,2775,SEAR1S8D_OUT,SEA40219,1
40910,448,SNO_HDR,SNO40910,1
40937,2630,SEAI1S8D_OUT,SEA40937,2
40912,1680,SEAI1S8D_OUT,SEA40912,0
40555,2073,SEAR1S8D_OUT,SEA40555,1
40586,2984,SEAR1S8D_OUT,SEA40586,4
40219,2767,SEAR1S8D_OUT,SEA40219,1
40202,2324,SEAI1S8D_OUT,SEA40202,3
40232,94,SEAC1S8D_OUT,SEA40232,4
40555,1946,SEAI1S8D_OUT,SEA40555,1
40219,2849,SEAC1S8D_OUT,SEA40219,1
40555,2046,SEAOUTFALL_6057,SEA40555,1
41018,177,SEAOUTFALL_6057,SEA41018,0
40937,2645,SEAI1S8D_OUT,SEA40937,2
40219,2881,SEAOUTFALL_6057,SEA40219,1
40803,271,SEAC1S8D_OUT,SEA40803,24
40202,2286,SEAC1S8D_OUT,SEA40202,3
40202,2320,SEAI1S8D_OUT,SEA40202,3
41330,683,SEA19US8D_RAIN,SEA41330,2
40035,237,SEAOUTFALL_6057,SEA40035,14
40858,1401,SNO_LDR,SNO40858,2
40219,2839,SEAC1S8D_OUT,SEA40219,1
40912,1667,SEAI1S8D_OUT,SEA40912,0
40555,1949,SEAI1S8D_OUT,SEA40555,1
40555,1988,SEAI1S8D_OUT,SEA40555,1
40932,2444,SEAC1S8D_OUT,SEA40932,1
40912,1605,SEAC1S8D_OUT,SEA40912,0
40586,3071,SEAI1S8D_OUT,SEA40586,4
40678,1023,MH5171,MH540678,#N/A
40219,2815,SEAR1S8D_OUT,SEA40219,1
40219,2840,SEAC1S8D_OUT,SEA40219,1
40634,857,TFW004S8D_RAIN,TFW40634,0
40188,1931,SEAOUTFALL_6057,SEA40188,0
40219,2848,SEAC1S8D_OUT,SEA40219,1
40849,1373,GM34921,GM340849,#N/A
40858,373,SEAOUTFALL_6057,SEA40858,1
40858,374,SEAOUTFALL_6057,SEA40858,1
40075,1194,SEA19US8D_RAIN,SEA40075,0
40219,2856,SEAC1S8D_OUT,SEA40219,1
40185,1778,SEAC1S8D_OUT,SEA40185,0
40248,756,SEA19US8D_RAIN,SEA40248,0
40932,2522,SEAR1S8D_OUT,SEA40932,1
40555,2011,SEAOUTFALL_6057,SEA40555,1
40586,3085,SEAI1S8D_OUT,SEA40586,4
40185,1847,SEAR1S8D_OUT,SEA40185,0
40202,2374,SEAOUTFALL_6057,SEA40202,3
41236,1479,SEACOMS8D_OUT,SEA41236,1
40967,699,GM34921,GM340967,#N/A
40858,368,SEAR1S8D_OUT,SEA40858,1
40586,3041,SEAC1S8D_OUT,SEA40586,4
40803,279,SEAOUTFALL_6057,SEA40803,24
40185,1830,SEAR1S8D_OUT,SEA40185,0
40549,1755,SEAR1S8D_OUT,SEA40549,0
40186,1885,SEAC1S8D_OUT,SEA40186,1
40547,465,SNO_COM,SNO40547,1
40932,2528,SEAR1S8D_OUT,SEA40932,1
40555,2107,SEAR1S8D_OUT,SEA40555,1
40188,1932,SEAOUTFALL_6057,SEA40188,0
40937,2624,SEAI1S8D_OUT,SEA40937,2
41297,535,SEAHDRS8D_OUT,SEA41297,12
40224,3142,SEAR1S8D_OUT,SEA40224,0
40161,431,SEAI1S8D_OUT,SEA40161,5
40937,2632,SEAI1S8D_OUT,SEA40937,2
41252,1525,SEA19US8D_RAIN,SEA41252,0
40185,1813,SEAC1S8D_OUT,SEA40185,0
40932,2449,SEAC1S8D_OUT,SEA40932,1
40185,1798,SEAC1S8D_OUT,SEA40185,0
40932,2520,SEAR1S8D_OUT,SEA40932,1
40219,2792,SEAR1S8D_OUT,SEA40219,1
40202,2386,SEAOUTFALL_6057,SEA40202,3
40844,1329,SNO_LDR,SNO40844,3
40219,67,SEAOUTFALL_6057,SEA40219,1
40315,1032,MH5171,MH540315,#N/A
40202,2339,SEAI1S8D_OUT,SEA40202,3
40519,1521,SNO_LDR,SNO40519,3
41335,712,SEACOMS8D_OUT,SEA41335,0
40803,273,SEAC1S8D_OUT,SEA40803,24
