Result Data Qualifier Code,Result Data Qualifier Description,Active,Last Modified By,Modified Date
"B","Analyte detected in sample and method blank. Reported result is sample concentration without blank correction or associated quantitation limit.","True","CombinedCodeSSIS","3/4/2009"
"B1","Analyte detected in sample and method blank. Reported result is blank-corrected.","True","CombinedCodeSSIS","3/4/2009"
"E","Reported result is an estimate because it exceeds the calibration range.","True","CombinedCodeSSIS","3/4/2009"
"EQP","Inconsistent equipment performance (sensor, instrument, etc.); reported result meets study objectives.","True","CNEU461","7/13/2016"
"EST","Measurement value reported is estimated.  See comment for additional detail.","True","CNEU461","7/13/2016"
"FA","No site access","True","CNEU461","7/22/2013"
"FD","Site was dry","True","CNEU461","7/22/2013"
"FE","Equipment failure","True","CNEU461","7/22/2013"
"FH","Flow too high to measure","True","CNEU461","7/22/2013"
"FI","Ice impacted","True","CNEU461","7/22/2013"
"FL","Above or below instrument or method limit","True","CNEU461","3/3/2014"
"FS","Stagnant water – no flow","True","CNEU461","7/22/2013"
"FT","Flow tidally impacted","True","CNEU461","3/13/2014"
"G","Value is likely greater than the reported result. Reported result may be biased low.","True","CombinedCodeSSIS","3/4/2009"
"IA","Instrument result adjusted; reported result meets study objectives","True","CNEU461","9/25/2015"
"J","Analyte was positively identified. The reported result is an estimate.","True","CombinedCodeSSIS","3/4/2009"
"JG","Analyte was positively identified. Value may be greater than the reported estimate.","True","CombinedCodeSSIS","3/4/2009"
"JK","Analyte was positively identified. Reported result is an estimate with unknown bias.","True","CombinedCodeSSIS","3/4/2009"
"JL","Analyte was positively identified. Value may be less than the reported estimate.","True","CombinedCodeSSIS","3/4/2009"
"JT","Analyte was positively identified. Reported result is an estimate below the associated quantitation limit but above the MDL.","True","CombinedCodeSSIS","3/4/2009"
"JTG","Analyte was positively identified. Value may be greater than the reported result, which is an estimate below the associated quantitation limit but above the MDL.","True","CombinedCodeSSIS","3/4/2009"
"JTK","Analyte was positively identified. Reported result is an estimate with unknown bias, below the associated quantitation limit but above the MDL.","True","CombinedCodeSSIS","3/4/2009"
"JTL","Analyte was positively identified. Value may be less than the reported result which is an estimate below associated quantitation limit but above MDL.","True","CombinedCodeSSIS","3/4/2009"
"K","Reported result with unknown bias.","True","CombinedCodeSSIS","3/4/2009"
"L","Value is likely less than the reported result.  Reported result may be biased high.","True","CombinedCodeSSIS","3/4/2009"
"N","There is evidence the analyte is present in the sample. Tentatively identified analyte.","True","CombinedCodeSSIS","3/4/2009"
"NJ","There is evidence that the analyte is present in the sample.  Reported result for the tentatively identified analyte is an estimate .","True","CombinedCodeSSIS","3/4/2009"
"NJT","There is evidence the analyte is present in the sample. Reported result for the tentatively identified analyte is an estimate below the associated quantitation limit but above the MDL.","True","CombinedCodeSSIS","3/4/2009"
"NU","There is evidence the analyte is present in the sample. Tentatively identified analyte was not detected at or above the reported result.","True","CombinedCodeSSIS","3/4/2009"
"NUJ","There is evidence the analyte is present in the sample. Tentatively identified analyte was not detected at or above the reported estimate.","True","CombinedCodeSSIS","3/4/2009"
"OOR","Out of range; dataset not in expected range for instrument type, data type, or historical climatology; reported result meets study objectives.","True","CNEU461","7/13/2016"
"OUT","Outlier within dataset; single result is unexpected or discontinuous.","True","CNEU461","7/13/2016"
"REJ","Data are unusable for all purposes. Sample results rejected due to serious deficiencies in the ability to analyze the sample and meet quality control criteria. The presence or absence of the analyte cannot be verified.","True","CombinedCodeSSIS","3/4/2009"
"T","Reported result below associated quantitation limit but above MDL","True","CombinedCodeSSIS","3/4/2009"
"U","Analyte was not detected at or above the reported result.","True","CombinedCodeSSIS","3/4/2009"
"UJ","Analyte was not detected at or above the reported estimate","True","CombinedCodeSSIS","3/4/2009"
